GEOID,NAME,county_fips,county_name,Total Population,Percent of Households with Elderly,Percent of Population with Disability,Percent of Households without Vehicle,flag_high_elderly,flag_high_disability,flag_low_vehicle_access,total_flags,preparedness_tier
06007000102,Census Tract 1.02; Butte County; California,007,Butte,4213,40.7,20.4,4.6,0,0,0,0,Standard Preparedness
06007000103,Census Tract 1.03; Butte County; California,007,Butte,6169,21.1,7.9,1.3,0,0,0,0,Standard Preparedness
06007000104,Census Tract 1.04; Butte County; California,007,Butte,5588,36.2,15.9,7.8,0,0,0,0,Standard Preparedness
06007000201,Census Tract 2.01; Butte County; California,007,Butte,4136,22.5,12.1,5.1,0,0,0,0,Standard Preparedness
06007000202,Census Tract 2.02; Butte County; California,007,Butte,3771,36.7,21.5,10.6,0,1,1,2,Elevated Concern
06007000300,Census Tract 3; Butte County; California,007,Butte,5057,20.8,22.5,11.3,0,1,1,2,Elevated Concern
06007000401,Census Tract 4.01; Butte County; California,007,Butte,5295,16.1,11.2,4.1,0,0,0,0,Standard Preparedness
06007000403,Census Tract 4.03; Butte County; California,007,Butte,3572,35.4,18.0,6.9,0,0,0,0,Standard Preparedness
06007000404,Census Tract 4.04; Butte County; California,007,Butte,3514,37.2,10.8,1.3,0,0,0,0,Standard Preparedness
06007000501,Census Tract 5.01; Butte County; California,007,Butte,4368,27.3,8.5,3.3,0,0,0,0,Standard Preparedness
06007000502,Census Tract 5.02; Butte County; California,007,Butte,5361,11.1,13.4,6.3,0,0,0,0,Standard Preparedness
06007000601,Census Tract 6.01; Butte County; California,007,Butte,3414,33.6,7.7,0.4,0,0,0,0,Standard Preparedness
06007000603,Census Tract 6.03; Butte County; California,007,Butte,3653,13.3,11.5,13.8,0,0,1,1,Standard Preparedness
06007000604,Census Tract 6.04; Butte County; California,007,Butte,4456,7.2,11.5,4.5,0,0,0,0,Standard Preparedness
06007000700,Census Tract 7; Butte County; California,007,Butte,4885,26.3,8.1,11.6,0,0,1,1,Standard Preparedness
06007000800,Census Tract 8; Butte County; California,007,Butte,5736,30.8,13.9,1.1,0,0,0,0,Standard Preparedness
06007000901,Census Tract 9.01; Butte County; California,007,Butte,2962,35.4,15.1,3.1,0,0,0,0,Standard Preparedness
06007000903,Census Tract 9.03; Butte County; California,007,Butte,6138,27.1,21.2,6.9,0,1,0,1,Standard Preparedness
06007000904,Census Tract 9.04; Butte County; California,007,Butte,6102,42.7,17.0,6.9,1,0,0,1,Standard Preparedness
06007001000,Census Tract 10; Butte County; California,007,Butte,5552,9.9,12.9,8.6,0,0,0,0,Standard Preparedness
06007001100,Census Tract 11; Butte County; California,007,Butte,4240,19.7,14.3,11.0,0,0,1,1,Standard Preparedness
06007001200,Census Tract 12; Butte County; California,007,Butte,3926,19.2,15.2,9.5,0,0,1,1,Standard Preparedness
06007001300,Census Tract 13; Butte County; California,007,Butte,3693,22.6,21.6,12.6,0,1,1,2,Elevated Concern
06007001400,Census Tract 14; Butte County; California,007,Butte,6577,40.1,12.8,0.0,0,0,0,0,Standard Preparedness
06007001500,Census Tract 15; Butte County; California,007,Butte,6156,38.5,12.1,1.7,0,0,0,0,Standard Preparedness
06007001601,Census Tract 16.01; Butte County; California,007,Butte,2306,28.6,5.7,0.0,0,0,0,0,Standard Preparedness
06007001602,Census Tract 16.02; Butte County; California,007,Butte,3330,39.4,10.8,3.4,0,0,0,0,Standard Preparedness
06007001702,Census Tract 17.02; Butte County; California,007,Butte,3871,39.9,21.3,0.0,0,1,0,1,Standard Preparedness
06007001703,Census Tract 17.03; Butte County; California,007,Butte,1539,30.6,20.9,0.0,0,0,0,0,Standard Preparedness
06007001704,Census Tract 17.04; Butte County; California,007,Butte,3345,41.8,22.3,4.8,0,1,0,1,Standard Preparedness
06007001800,Census Tract 18; Butte County; California,007,Butte,1338,64.3,9.2,3.2,1,0,0,1,Standard Preparedness
06007001900,Census Tract 19; Butte County; California,007,Butte,1095,72.0,18.2,0.0,1,0,0,1,Standard Preparedness
06007002000,Census Tract 20; Butte County; California,007,Butte,1498,60.8,7.0,3.3,1,0,0,1,Standard Preparedness
06007002100,Census Tract 21; Butte County; California,007,Butte,1346,65.5,45.5,11.9,1,1,1,3,High Priority
06007002200,Census Tract 22; Butte County; California,007,Butte,2213,54.6,10.4,4.0,1,0,0,1,Standard Preparedness
